"lambda_slow","p_fast"
0.836451428722478,0.207337207603004
0.821629814971303,0.158839227945291
0.605926028172939,0.254851836445035
0.76541857034962,0.209263716030591
0.676417457711588,0.17883395953307
0.77597960920676,0.229208886319146
0.637411035272427,0.193683496762952
0.614213235390838,0.269530670081005
0.745272613049095,0.239615173283115
0.744713182107104,0.179768401008268
0.666938178407355,0.192882388452362
0.805478048666182,0.211173283089989
0.881157446166958,0.188004607729164
0.715203950398589,0.199148584504114
0.640314814579017,0.22557511219894
0.675705985360083,0.241440256283535
0.668289980564889,0.130777437423175
0.701126373563688,0.233899010670329
0.588806335371633,0.263961526478607
0.633408692125254,0.216992630311128
0.786599437503925,0.234043855294712
0.717298272042038,0.16022397477162
0.630696423735742,0.24769173703632
0.758679082250337,0.170857594475595
0.656883307323506,0.253198890985923
0.691289800476003,0.211585783492373
0.805794663674147,0.23099784702576
0.637214081389004,0.214246531596922
0.77947473307525,0.211764534692062
0.749533710399283,0.227829634835312
0.747929270975186,0.212088912258828
0.795049815918837,0.186864395508444
0.689479872336694,0.170890079445871
0.733377774406038,0.209572978079715
0.684245855001464,0.240483054779046
0.694027763018404,0.235373761203361
0.685703177985506,0.189958322443108
0.715475316396874,0.183320594287342
0.872961447179969,0.224052608533053
0.742745155363972,0.25805872434259
0.723057525457985,0.200193164770928
0.714773364645273,0.231619768483586
0.616771655696395,0.185889341474263
0.739363864118288,0.245469372343441
0.971941547509674,0.165941323867521
0.659614559026578,0.20430212449139
0.634638222795992,0.259310633884673
0.787788152176611,0.220774182371896
0.865653087496002,0.199744415778275
0.752536663904657,0.173855204292871
0.653422180027638,0.232703321673382
0.713262699883419,0.183593521880663
0.695394382787127,0.183347114993005
0.741022498586547,0.187352150760696
0.76177045345351,0.187011070683
0.744842804607348,0.231889092099851
0.869137580042045,0.171132148348577
0.765184027638313,0.182981983852628
0.66279735106893,0.262098720520526
0.684923532148231,0.162611733142525
0.689255013848159,0.169447766601126
0.746963649174904,0.187630830149501
0.687752369330285,0.173064503164835
0.752602347200888,0.201298320425737
0.707936296316708,0.199458110218619
0.620368097703355,0.191721391179596
0.762806730760807,0.190559051013713
0.695795588754117,0.284382450262699
0.791863518946921,0.172656275460137
0.809986591957603,0.167768726630233
0.720174459315564,0.18820921374302
0.775037389161384,0.156355372768914
0.657239502696074,0.199018347568416
0.885639454530247,0.165855491274091
0.748522820938997,0.257607791061137
0.590098446263268,0.186215424204091
0.759046351426298,0.252727597461428
0.842718328075155,0.209812932744514
0.746599637088449,0.195163553773304
0.745938115744188,0.215243719351765
0.810864701416113,0.154158264911866
0.893195463185106,0.225739711362781
0.603509489207703,0.193698537060769
0.767733580270867,0.191672369787375
0.662303656422279,0.239640998665482
0.599035362972835,0.280126977281423
0.784650983591454,0.217889972460542
0.73121038064496,0.18464627022794
0.684697995664379,0.184566091922276
0.716713765678728,0.273653055475395
0.608895870799379,0.22203808049381
0.811928639637849,0.155782121703948
0.654358314303443,0.268890718358095
0.711945536893504,0.238982996338222
0.663784663667177,0.237709404140585
0.686471271908338,0.207572321380331
0.741839064749103,0.190015268463308
0.73586011248426,0.180733490863577
0.741704980100629,0.212953360649627
0.79773947537791,0.210497062418983
0.668811493285472,0.265039406963297
0.653321095636999,0.230754854235213
0.709233243443643,0.205409668680387
0.707050361263956,0.227905236143411
0.713922536910018,0.153054988855416
0.736911720511392,0.197039047536441
0.701316222356511,0.194395947049931
0.708973091715281,0.218180753784884
0.75237781652623,0.190224604683836
0.696653436608498,0.205089430831169
0.718751337255963,0.207976051101813
0.684708626669617,0.265506537661461
0.707052639274593,0.203516590642505
0.620479354540333,0.197786803079827
0.654025155002091,0.245025964032304
0.705201192677087,0.1792447518951
0.695712677922648,0.173951194994925
0.880089176640859,0.17435283780805
0.686811153937031,0.194699488006261
0.771249394670626,0.226062378857962
0.689335931376063,0.224316457398466
0.717444932756242,0.220715678406224
0.768528635523097,0.220361634250089
0.675490710702626,0.230317872985282
0.688257058316951,0.219213708495806
0.572304138826863,0.16939929797876
0.706792397052966,0.213658952949711
0.730073622550213,0.21639054222244
0.709780608765588,0.219421402936063
0.718220590630085,0.228838980711124
0.766775407904383,0.228360890165067
0.684944731290267,0.245790043984966
0.657143371955477,0.180154005717147
0.63762327922049,0.190668225776401
0.791157805505793,0.203094588005418
